plot_idx,block_idx,block_reward_type,block_forced_type,rewards,forgone_rewards,regrets,perc_opt_actions
2000,38.0,3.0,1.0,0.4875,0.315625,,0.03265625,0.87083334
2000,39.0,0.0,0.0,0.503125,0.25520834,,0.05809375,0.8286458
2000,39.0,1.0,1.0,0.50625,0.30833334,,0.04140625,0.8489583
2000,39.0,2.0,0.0,0.503125,0.28958333,,0.051447917,0.83385414
2000,39.0,3.0,1.0,0.4875,0.27083334,,0.03615625,0.8484375
3000,0.0,0.0,0.0,0.49270833,0.010416667,,0.32648957,0.48854166
3000,0.0,1.0,1.0,0.48802084,0.10104167,,0.24253125,0.5833333
3000,0.0,2.0,0.0,0.50677085,0.010416667,,0.34188542,0.48854166
3000,0.0,3.0,1.0,0.5125,0.08958333,,0.23791666,0.58802086
3000,1.0,0.0,0.0,0.49270833,0.16875,,0.17025,0.65052086
3000,1.0,1.0,1.0,0.48802084,0.20625,,0.14955209,0.6890625
3000,1.0,2.0,0.0,0.50677085,0.20520833,,0.1575,0.6666667
3000,1.0,3.0,1.0,0.5125,0.18020834,,0.14175001,0.696875
3000,2.0,0.0,0.0,0.49270833,0.17395833,,0.16290624,0.66614586
3000,2.0,1.0,1.0,0.48802084,0.23958333,,0.116166666,0.7291667
3000,2.0,2.0,0.0,0.50677085,0.18645833,,0.16452083,0.66979164
3000,2.0,3.0,1.0,0.5125,0.17708333,,0.10551042,0.746875
3000,3.0,0.0,0.0,0.49270833,0.23958333,,0.117729165,0.7161458
3000,3.0,1.0,1.0,0.48802084,0.28541666,,0.08466666,0.7661458
3000,3.0,2.0,0.0,0.50677085,0.21458334,,0.12775,0.7140625
3000,3.0,3.0,1.0,0.5125,0.20104167,,0.0831875,0.7796875
3000,4.0,0.0,0.0,0.49270833,0.22604166,,0.112333335,0.7265625
3000,4.0,1.0,1.0,0.48802084,0.27083334,,0.078406245,0.76875
3000,4.0,2.0,0.0,0.50677085,0.234375,,0.11955208,0.71979165
3000,4.0,3.0,1.0,0.5125,0.24791667,,0.070541665,0.79322916
3000,5.0,0.0,0.0,0.49270833,0.18854167,,0.101791665,0.74375
3000,5.0,1.0,1.0,0.48802084,0.29270834,,0.059729166,0.80104166
3000,5.0,2.0,0.0,0.50677085,0.22083333,,0.111541666,0.72760415
3000,5.0,3.0,1.0,0.5125,0.31875,,0.055625,0.8208333
3000,6.0,0.0,0.0,0.49270833,0.225,,0.0866875,0.76145834
3000,6.0,1.0,1.0,0.48802084,0.328125,,0.057645835,0.79895836
3000,6.0,2.0,0.0,0.50677085,0.24583334,,0.10104167,0.7473958
3000,6.0,3.0,1.0,0.5125,0.25520834,,0.05621875,0.81875
3000,7.0,0.0,0.0,0.49270833,0.23229167,,0.08759376,0.7640625
3000,7.0,1.0,1.0,0.48802084,0.334375,,0.044281248,0.8296875
3000,7.0,2.0,0.0,0.50677085,0.25416666,,0.08846875,0.76458335
3000,7.0,3.0,1.0,0.5125,0.27291667,,0.04601042,0.83697915
3000,8.0,0.0,0.0,0.49270833,0.26666668,,0.076718755,0.78125
3000,8.0,1.0,1.0,0.48802084,0.31666666,,0.042802084,0.83020836
3000,8.0,2.0,0.0,0.50677085,0.275,,0.08071875,0.775
3000,8.0,3.0,1.0,0.5125,0.26458332,,0.04390625,0.8411458
3000,9.0,0.0,0.0,0.49270833,0.278125,,0.0703125,0.79114586
3000,9.0,1.0,1.0,0.48802084,0.31770834,,0.038114585,0.8296875
3000,9.0,2.0,0.0,0.50677085,0.29270834,,0.08192708,0.771875
3000,9.0,3.0,1.0,0.5125,0.28229168,,0.04035417,0.84479165
3000,10.0,0.0,0.0,0.49270833,0.27708334,,0.06739583,0.8
3000,10.0,1.0,1.0,0.48802084,0.33645833,,0.033375002,0.8484375
3000,10.0,2.0,0.0,0.50677085,0.26354167,,0.074854165,0.78697914
3000,10.0,3.0,1.0,0.5125,0.259375,,0.038822915,0.85052085
3000,11.0,0.0,0.0,0.49270833,0.27708334,,0.06483333,0.7994792
3000,11.0,1.0,1.0,0.48802084,0.321875,,0.032229166,0.8520833
3000,11.0,2.0,0.0,0.50677085,0.25104168,,0.07519791,0.784375
3000,11.0,3.0,1.0,0.5125,0.26354167,,0.03657292,0.8489583
3000,12.0,0.0,0.0,0.49270833,0.2375,,0.06309375,0.8046875
3000,12.0,1.0,1.0,0.48802084,0.29166666,,0.030072918,0.86302084
